id,name,followers,popularity,genres
0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,1502290,62,"acoustic rock, grunge, permanent wave"
3Ukr3Ufjg8ygRJv7Ww887f,Screaming Trees,301084,45,"alternative rock, grunge"
74gcBzlQza1bSfob90yRhR,City and Colour,844019,58,"canadian folk, canadian indie"
6mU8ucezzms5I2kNH6HNlu,Conor Maynard,2129396,66,"post-teen pop, uk pop, viral pop"
4Ey6YW4OdEBUuVhDEcRdpU,Clare Bowditch,20370,24,"australian alternative rock, australian indie, australian singer-songwriter"
1FCJ4zmRfkGUOtY65Jettg,Victor Démé,28296,49,"afropop, burkinabe pop, mande pop, world"
6CFWXwqEBUi0UFoIIxmg9h,Cheikh Lô,56021,37,"afropop, mbalax, world"
0I6bdBR4Q7uoc3HI1OgI8C,Bonga,92447,48,"afropop, semba"
6sz0k1q2aEtG5dxEgr4YWV,Rokia Traoré,102570,40,"afropop, malian blues, mande pop, world"
2laFwNRffMM18LvKKDxCs9,Habib Koité,64342,40,"afropop, griot, mande pop, world"
0VVnWF3KNaa5O7ESohKhAx,Salif Keita,162573,47,"afropop, malian blues, mande pop, world"
2reknFuZPFjVat474Q35SQ,Bassekou Kouyate,24025,34,"desert blues, malian blues, mande pop, ngoni, world"
3mNygoyrEKLgo6sx0MzwOL,Ali Farka Touré,239104,48,"afropop, desert blues, malian blues, world"
0LFsP7WPfu5inz9a1amcE4,R2Bees,154426,44,"afrobeats, ghanaian hip hop, ghanaian pop"
2n4DcAtRMvfyRX3ljeC8Kp,2Baba,331490,46,"afrobeats, afropop, nigerian pop"
4DWVHNUG04lB1nYDbQmjLm,J. Martins,118981,42,"afrobeats, afropop, azontobeats, nigerian pop"
77zlytAFjPFjUKda8TNIDY,Youssou N'Dour,199095,52,"afropop, mbalax, world"
65CKKZilbcSKkAPC9a5Mvh,Oumou Sangaré,132889,47,"afropop, malian blues, mande pop, wassoulou, world"
6yd6lB5T20BZjUVkSlwojA,Bracket,33928,43,"azontobeats, nigerian hip hop, nigerian pop"
5RCdjio4ASMQ8CFaSuAl6C,D'banj,222470,44,"afrobeats, afropop, nigerian pop"
42IUN9kTPdUdI1kre6L7Wk,P-Square,466652,54,"afrobeats, afropop, azontobeats, bongo flava, nigerian hip hop, nigerian pop"
3ZUn6LYxdmmPYQqBhFWI3h,Iyanya,248306,52,"afrobeats, afropop, nigerian pop"
0VX4MyYhvKRtU1AZUVGLUZ,Nneka,183064,44,neo soul
3KH7WsR2JZQ94Ik8SyabU6,Amadou & Mariam,196485,56,"afropop, malian blues, mande pop, world"
2gR0iQTVBPHDKiNn1Kq8HI,Ebo Taylor,82504,45,"afro-funk, afrobeat, afropop, old school highlife"
5CG9X521RDFWCuAhlo6QoR,Fela Kuti,499638,48,"afrobeat, afropop, world"
5yGh5A5zAzDYeAeSksnWiW,Gerald Toto,5313,37,
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,55579079,89,"barbadian pop, pop, urban contemporary"
0eatcjNWvGuDEPNnjgPNn1,King Sunny Ade,67573,38,"afrobeat, afropop, griot, juju"
0EmeFodog0BfCgMzAIvKQp,Shakira,29483632,89,"colombian pop, dance pop, latin pop, pop"
5JWBXFlYkBy3n2oN1To790,Mavins,459669,55,"afrobeats, afropop, azontobeats, nigerian pop"
3RhKSqhIE9U22yFEobw68e,Tiken Jah Fakoly,187205,49,"african reggae, french reggae, griot"
0jnsk9HBra6NMjO2oANoPY,Flo Rida,8867743,78,"dance pop, miami hip hop, pop, pop rap"
21xg2x7NpnTVXHo01TAQp4,JuJu (Justin Adams & Juldeh Camara),401,0,
7HGFXtBhRq3g1Ma3nH4Rgv,Mulatu Astatke,198882,51,"afrobeat, afropop, ethio-jazz, world"
0Y3agQaa6g2r0YmHPOO9rh,Davido,2898312,73,"afrobeats, afropop, azontobeats, ghanaian hip hop, nigerian pop"
3wcj11K77LjEY1PkEazffa,Burna Boy,5694100,79,"afrobeats, dancehall, nigerian hip hop, nigerian pop"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,26084145,88,"big room, dance pop, edm, pop, pop dance"
7AcV1lk8Zrgo1691PDWEle,Freshlyground,60040,63,"african rock, afropop, south african jazz, south african pop, south african pop dance"
6L71LxY17w8Yzh1zUphpiW,Egypt 80,3297,44,afrobeat
5kUd6m1kXPaPjEqqxdNVMz,Eric Wainaina,25198,21,kikuyu pop
1L0A5yPijaohH9HNUYOTTC,His International Stars,33,2,
51qUDJb5AtQX6jIL4VJx6M,Angelique Kidjo,115809,52,"afropop, beninese pop, world"
34XlPCFfB4vT7P1ekWq9Jc,Guster,162729,48,boston rock
1pgtr4nhBQjp9oCUBPyYWh,Fountains Of Wayne,167697,58,"pop rock, power pop"
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,9243001,79,"alternative metal, nu metal, rap metal, rock"
0sHeX8oQ6o7xic3wMf4NBU,Supergrass,549439,58,"alternative rock, britpop, oxford indie"
0pbIqPTefLfuOcbM2ojXdl,Polvo,39773,30,"experimental rock, lo-fi, math rock, noise rock, post-hardcore, shoegaze, slowcore"
6guTJsgPymDUVfqDJyz5UG,Galaxie 500,148785,39,"alternative rock, dream pop, lo-fi, melancholia, noise pop, shoegaze, slowcore, uk post-punk"
3mv2eHwrIONSkviASDMRMa,Califone,16286,32,"alternative country, chicago indie"
64tVHZVSAZhDEiOJxnb6hE,Sparklehorse,147058,46,"alternative rock, chamber pop, melancholia"
6wBUn8gMP85n8dPu6LoUcF,...And You Will Know Us by the Trail of Dead,77718,36,"double drumming, post-hardcore"
2JpHk8yju1DH1l3c9sXzOS,Dismemberment Plan,54217,35,"emo, lo-fi, math rock, post-hardcore"
2wrhBKGC3DTNNNDRJPaxW6,Sebadoh,104873,40,"alternative rock, gbvfi, lo-fi, post-hardcore, western mass indie"
4Aq4ePZT5OKPz94Fd1stey,Evan Dando,20614,26,power pop
7wyRA7deGRxozTyBc6QXPe,Stephen Malkmus & The Jicks,67741,34,"alternative rock, chamber pop, gbvfi, indie rock, lo-fi, portland indie, slowcore"
0O0g9JMOVNoIgLG6dgaYMY,Robyn Hitchcock,31809,28,"jangle pop, power pop, solo wave"
3NmdKZUM96z7NGvL35g5PC,The Rentals,25801,29,alternative pop
1ahN3WDDULKaAQs7ZUrGNP,Sloan,62147,40,"canadian indie, canadian rock, halifax indie, power pop"
6zB02lwP6L6ZH32nggQiJT,They Might Be Giants,393031,56,"comic, geek rock, permanent wave, zolo"
11zHPjHnZN0ACA50rSnTcy,Nada Surf,175682,47,power pop
3yhc2Jz6eRcmlUjQtbXNk8,Poster Children,3151,14,alternative pop
1jSaZgaKHmgc7VTgML528r,Clap Your Hands Say Yeah,173401,43,"alternative dance, brooklyn indie, chamber pop, dance-punk, indie rock, indietronica, noise pop, philly indie"
3HJIB8sYPyxrFGuwvKXSLR,TV On The Radio,587407,55,"alternative dance, alternative rock, brooklyn indie, chamber pop, indie rock, indietronica, modern rock, neo-synthpop"
03G0pJHLHj7FRuCV5OYzpv,The Fiery Furnaces,24567,26,brooklyn indie
0sTTw3dw3EA0c7NaZnrJd2,Wipers,83996,40,"grunge, hardcore punk, no wave, portland punk, post-hardcore, post-punk, punk, uk post-punk"
5hbH3dvtk49g07qpc1QwPe,Ted Leo and the Pharmacists,33894,30,indie rock
3kbBWco9PZ5eSQsNScwG6U,Built To Spill,280133,50,"alternative rock, chamber pop, idaho indie, indie rock, lo-fi, noise rock"
2QoU3awHVdcHS8LrZEKvSM,Wilco,702124,60,"alternative country, alternative rock, chicago indie, indie rock, roots rock, stomp and holler"
0S7Zur2g8YhqlzqtlYStli,Television,335802,45,"alternative rock, art punk, experimental rock, indie rock, new wave, no wave, noise pop, post-punk, protopunk, punk, singer-songwriter"
6BMhCQJYHxxKAeqYS1p5rY,Hinder,1772669,60,"alternative metal, nu metal, post-grunge"
2qT62DYO8Ajb276vUJmvhz,XTC,300317,50,"art punk, art rock, beatlesque, new romantic, new wave, new wave pop, post-punk, power pop, zolo"
2JXDwIo5HsiwTcTPQytrZ8,Sponge,114540,42,"grunge, pop rock, post-grunge"
2iEvnFsWxR0Syqu2JNopAd,Smash Mouth,954962,65,"pop rock, post-grunge"
48aWrmmKEYNoXwTpGOZs9n,The Wrens,219,18,
5NL0NG8VTzLRtKhqsqm3PD,Self,14378,29,
0P2q6xyNc2hVFkG3ThjYcJ,The Magic Numbers,86005,38,pop rock
2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,5644298,74,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,1382899,64,"alternative rock, chamber pop, double drumming, indie rock, indietronica, modern rock, washington indie"
6eoJpTIlcuxJNjV5fDzDJH,Live,732346,60,"grunge, pop rock, post-grunge"
5LfGQac0EIXyAN8aUwmNAQ,The Offspring,5043137,76,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
7oPftvlwr6VrsViSDV7fJY,Green Day,14066349,79,"modern rock, permanent wave, punk, rock"
7dOBabd5O4CvKrg4iriHTM,Kid Rock,2415746,67,nu metal
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,3426730,73,"irish rock, pop rock, rock"
4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,3490831,68,"folk-pop, metropopolis, modern rock, stomp and holler"
3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,6495182,72,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana"
7gjAu1qr5C2grXeQFFOGeh,Passion Pit,1248911,58,"indie rock, indietronica, modern rock, neo-synthpop, shimmer pop"
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,1022444,62,"double drumming, la indie, stomp and holler"
0AZ3VR0YbFcS0Kgei7L2QF,Russian Circles,230845,45,"american post-rock, instrumental post-rock, instrumental rock, post-metal, post-rock, sludge metal"
44TGR1CzjKBxSHsSEy7bi9,Woodkid,745129,60,chamber pop
74XFHRwlV6OrjEM0A2NCMF,Paramore,7803541,78,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,11856492,77,pop
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,10051104,79,"emo, modern rock, pop, pop punk, rock"
1SImpQO0GbjRgvlwCcCtFo,The Red Jumpsuit Apparatus,1278416,62,"alternative metal, neon pop punk, pop punk, post-grunge, screamo"
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,2225056,69,"alternative metal, metalcore, pop punk, screamo"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,44692754,89,"permanent wave, pop"
53A0W3U0s8diEn9RhXQhVz,Keane,2972686,73,"neo mellow, piano rock, pop rock"
04gDigrS5kc9YWfZHwBETP,Maroon 5,40645137,85,pop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,48148868,87,"modern rock, pop, rock"
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,8278013,80,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
2sBPVEeMBXKNsZtYaJixnJ,Woods,97947,38,"brooklyn indie, chamber pop, freak folk, indie rock, modern folk rock, neo-psychedelic, noise pop"
6FBDaR13swtiWwGhX1WQsP,blink-182,7606820,78,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,2447032,66,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
0SwO7SWeDHJijQ3XNS7xEE,MGMT,2793259,73,"alternative rock, indie rock, indietronica, modern rock, rock"
4A9xtvezlouTD7H0kyUje9,Twin Atlantic,151035,40,"british alternative rock, modern alternative rock, scottish rock"
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,3273925,73,"modern alternative rock, modern rock, pov: indie, punk blues, rock"
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,3867868,71,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock"
12Chz98pHFMPJEknJQMWvI,Muse,7517585,75,"modern rock, permanent wave, rock"
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,5220652,74,"modern rock, rock"
3Oim8XBPbznAa8Jj8QzNc8,Cults,686440,71,"experimental pop, indie surf"
4M2H1fDQR5ygAi7MMOVxAA,The Whip,29112,27,"alternative dance, dance rock, dance-punk, electrofox, new rave"
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,6399322,77,"baroque pop, modern rock, neo mellow, uk alternative pop"
2eam0iDomRHGBypaDQLwWI,Bleachers,604512,63,"double drumming, indie pop, modern rock, pov: indie"
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,24329351,91,"art pop, pop"
0YhUSm86okLWldQVwJkLlP,Bad Suns,465979,58,"la indie, modern alternative rock, modern rock, pov: indie"
63MQldklfxkjYDoUE4Tppz,M83,2243228,70,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
02uPe16VFxPaiueQsPEDkE,The Album Leaf,156091,46,"american post-rock, compositional ambient, instrumental post-rock, post-rock"
0VOR7Ie9xUSb45fzIIVJQ1,Hammock,170021,48,"ambient guitar, ambient post-rock, ambient worship, compositional ambient, instrumental post-rock, post-rock, space ambient"
5szE6146yjBAZgiq3ekt11,Young Dreams,11382,12,bergen indie
5TfnQ0Ai1cEbKY5katFK14,Ladyhawke,164242,44,"alternative dance, metropopolis, neo-synthpop"
4uuUGaQKEYJW2b78K0HD6X,Divine Fits,23326,22,
3oOylXJSSKnZt9xZIjikTJ,John K. Samson,22407,27,"canadian indie, canadian indie folk, manitoba indie"
6WH1V41LwGDGmlPUhSZLHO,Autechre,198458,41,"abstract, ambient techno, drill and bass, electronica, glitch, intelligent dance music, uk experimental electronic"
7qdsk0UXx2jCX7jbp6rxeq,The Black Dog,40930,33,"ambient techno, intelligent dance music"
2qhmNI4ZHPpeDutdg473Z3,The Future Sound Of London,134825,40,"abstract, big beat, breakbeat, electronica, intelligent dance music, trip hop"
3GM5cpCBadq2PMHjFoEvhK,Loscil,64559,40,"abstract, ambient, compositional ambient, drift, drone, intelligent dance music"
1qiwaJwjKod5WhcYZ76O1B,Tim Hecker,129582,48,"ambient, art pop, canadian experimental, compositional ambient, drone, intelligent dance music, warm drone"
36pCa1JHc6hlGbfEmLzJQc,Stars Of The Lid,81747,43,"ambient, compositional ambient, drone"
3ND5NWoKzlelYDDyWqSQpQ,Susumu Yokota,92998,42,"abstract, ambient, compositional ambient, drone, fourth world, intelligent dance music, j-ambient, japanese electronic, japanese idm"
0HWfFWL4vVrbaBQqxVCwCi,Julianna Barwick,79984,46,"ambient pop, art pop, electra, melancholia, spectra"
6u5axd0rpDsWSmzhFfb2VB,William Basinski,109127,45,"ambient, compositional ambient, drone, fourth world, hauntology, intelligent dance music, sound art"
3FzjdAkINJMDEPswkarKdp,Cleveland Wehle,1166,10,deep ambient
38DX4hQVvPBs3PThDIAK11,Carbon Based Lifeforms,144974,45,"ambient trance, downtempo, psychill"
7GyhmlEy51sGUE09A5AWzc,Solar Fields,93940,42,"ambient trance, downtempo, psychill, space ambient"
6nwGLbfNWg1SmPsaoYgXRA,Cell,14483,26,"ambient psychill, psychill, space ambient"
2rcnAZ6DvORQ365X3zVYpr,Biosphere,86104,42,"abstract, ambient, compositional ambient, drone, intelligent dance music, nordic ambient"
2L74iwWkXmtJwADx8DoK1E,Ex Confusion,5452,32,"drift, warm drone"
7MSUfLeTdDEoZiJPDSBXgi,Brian Eno,672683,64,"abstract, ambient, art pop, art rock, compositional ambient, experimental, experimental ambient, fourth world, glam rock, minimalism, singer-songwriter"
7yxi31szvlbwvKq9dYOmFI,Jon Hopkins,469295,55,"compositional ambient, electronica, intelligent dance music"
5HAtRoEPUvGSA7ziTGB1cF,The Orb,160482,45,"ambient house, electronica, intelligent dance music, trip hop"
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,9455183,82,"electro, filter house, rock"
6HCnsY0Rxi3cg53xreoAIm,Emancipator,379700,55,"downtempo, livetronica, trip hop"
5oOhM2DFWab8XhSdQiITry,Tycho,665795,57,"downtempo, electronica, indietronica, intelligent dance music"
0cmWgDlu9CwTgxPhf403hb,Bonobo,1324880,65,"downtempo, electronica, indietronica, instrumental hip hop, jazztronica, nu jazz, trip hop"
592TFYwu9Qb0RC1hKDbX2w,Helios,106937,44,"compositional ambient, instrumental post-rock, space ambient"
4znPt0HV6Ik0iR8sR4GAJE,Ulrich Schnauss,82159,37,"ambient, ambient guitar, german electronica, indietronica, intelligent dance music, nu gaze, shoegaze"
5FbBZ9ZLIoVdgbbnGmsKNk,Clem Leek,25860,50,"compositional ambient, focus, nu age"
2JOKkrpXtdpKvcGf1pjXz2,Hecq,10605,19,"ambient idm, drill and bass"
0uCCBpmg6MrPb1KY2msceF,Burial,413278,50,"classic dubstep, electronica, future garage, hauntology, intelligent dance music, trip hop, uk bass, wonky"
4Jz9DfT6REYvKZbSFc9Q7J,Rudy Adrian,6196,33,"deep ambient, drift"
3P5BX46nHeJprcr04amwkV,Martin Stig Andersen,4723,27,
2uFUBdaVGtyMqckSeCl0Qj,Ludovico Einaudi,3060802,77,"bow pop, compositional ambient, neo-classical"
0w0n5GVOQZlszSi4WN1Got,Near The Parenthesis,7761,24,"ambient idm, ambient post-rock"
0tCko0BmFmrCZSoZgNuNgS,Ambiente,207,0,"lounge house, mexican post-rock"
3FpCFpdoJOrGuR3G7UBgC7,Lustmord,40697,31,"ambient industrial, british industrial, dark ambient, dark jazz, ritual ambient"
5bgjyBTPKJwvXvNxE73ohI,smileY inc.,1129,10,
7hb4cZrq9Myg7VEqI2z0hJ,Yukari Tamura,44564,34,"anime, denpa-kei"
7JL9zaGsB5OqMA0FgwF6lP,"Wake Up, Girls!",36595,28,"anime, denpa-kei"
17Xrh1jox4g1VQcUcIcgra,Haruka Tomatsu,126627,44,"anime, denpa-kei, j-pixie, seiyu"
5htVtReJ3NAwcAdxdHpim3,ClariS,425965,51,"anime, j-pop girl group"
5AT0jKTq4D7IVlXsDscmQ1,i☆Ris,58263,38,"anime, j-division, j-pop girl group, shojo"
7ucOhItVkxNqunNLo8AkzN,fripSide,208541,49,"anime, j-pixie"
4eL15GpHSLAAvv5sT00c5i,Luna Haruna,183836,42,"anime, j-pixie, seiyu"
0k7JZhYS35IewiKNHW7KMj,EGOIST,684629,54,"anime, anime rock, j-pixie"
18moNotPmBWa2YZtRnIoZ3,Eir Aoi,559931,51,"anime, anime rock, j-pixie"
2otsTXVV2ZWZ8T5LPzsBhy,Kalafina,270887,46,"anime, j-pixie, shonen"
4TDhVf1rQgL1I5lSWwAscc,Prizmmy☆,7514,19,"j-division, j-pop girl group, shojo"
2NYJcEmA0kwevHvsJNdNqW,VOICE by イヤミ(cv.鈴村健一),1465,13,
3GnM9zjuaItYitYvN8lneJ,Mashiro Ayano,56902,33,"anime, j-pixie"
6IHR6k7mwbc2nLGeAr9UNQ,モアナ(屋比久知奈),614,0,
0W2k6Nb1VXfeRy2dFJnYt2,ハス太,14,0,
13IOuGDqvjHBxoK9noguuR,Lisp,1029,14,"j-pop girl group, shojo"
2mg9AmMi3b9jTbaOR5If4C,ROOKiEZ is PUNK'D,74644,42,"anime rock, j-poprock, japanese pop punk"
1CWmF1EcrKoWIbZt9Ivfg2,BLUE ENCOUNT,341397,50,"anime, j-pop, j-rock"
0ydm6IBSfW3DPMdrI0HW5u,MADOKA(CV:阿澄佳奈),5,0,anime cv
4awZsyevkX7tP6nu1rFvUq,Nami Tamaki,39974,39,anime
1c6AVsmIHCvKETSqC8D7zr,ニャル子,58,5,
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,979465,59,"anime, j-pop, j-poprock, j-rock, japanese emo, japanese pop punk"
2JKhm0AxRhpMHwzRaYVsZq,秋月マキシ(CV:芹澤優),270,2,anime cv
1PH0gOUbhWXX6cCEnu4RQB,ハッカドール,1025,4,
5WcLagk5kJoqUawNklLd6Y,I-1 Club,1818,9,denpa-kei
4gmwxlNCksRZRgXuxEDeVH,Prism☆Box,333,5,shojo
01vVQFcDbtkS4TbHyttdoT,Wataru Hatano,24402,26,"dansei seiyu, j-division"
1iR65pQAV4ssTTf9JRNr9X,Mamoru Miyano,96964,42,"dansei seiyu, j-division"
3ITwaLbY4bFzc57CVTKT2u,Taku Matsushiba,22696,40,yaoi
2Nnwx1j1GrmIKZ8vx6fJSI,Taro Umebayashi,31693,39,yaoi
3rJbSZv98yyWLNOvD6MsAV,7!!,156560,51,"anime rock, j-pixie, okinawan pop"
1TMJLV4ZGHHRzQn2DSz4ec,Ceorie,652,11,
5bVaD2JEEknoxpf4zR2XGE,プリズム☆メイツ,36,0,
0tUm87RiSeuwREEGgCIM5k,いしわたり淳治&砂原良徳 + やくしまるえつこ,602,0,
4pP3Gtdmwp2cHtz736pyGI,Deathspell Omega,63481,32,"avant-garde black metal, black metal, dissonant death metal, french black metal, french metal, technical black metal, voidgaze"
4OpHsZuhfJMU9PZ3zkyUQX,Watain,142411,38,"black metal, swedish black metal, swedish metal"
5G1MlYyOsiG56mjlsZHsLC,Judas Iscariot,49729,24,"black metal, usbm"
21ojeH5LNADIGzJKc3hIlE,Dark Funeral,219686,39,"black metal, brutal death metal, metal, swedish black metal, swedish metal"
2lxB5NTcQXj7GGRR4xAVaH,Marduk,215227,39,"black metal, death metal, metal, swedish black metal, swedish metal"
